ATC_code,Libellé français
C03DA,antagonistes de l'aldostérone
C03DA01,spironolactone
C03DA02,canrénoate de potassium
C03DA03,canrénone
C03DA04,éplérénone
C03DA05,finérénone
C03DB,autres diurétiques épargneurs potassiques
C03DB01,amiloride
C03DB02,triamtérène
C03E,diurétiques et épargneurs potassiques en association
C03EA,diurétiques 'low-ceiling' et épargneurs potassiques
C03EA01,hydrochlorothiazide et épargneurs potassiques
C03EA02,trichlorméthiazide et épargneurs potassiques
C03EA03,épitizide et épargneurs potassiques
C03EA04,altizide et épargneurs potassiques
C03EA05,mébutizide et épargneurs potassiques
C03EA06,chlortalidone et épargneurs potassiques
C03EA07,cyclopenthiazide et épargneurs potassiques
C03EA12,métolazone et épargneurs potassiques
C03EA13,bendrofluméthiazide et épargneurs potassiques
C03EA14,butizide et épargneurs potassiques
C03EB,diurétiques de l'anse et épargneurs potassiques
C03EB01,furosémide et épargneurs potassiques
C03EB02,bumétanide et épargneurs potassiques
C03X,autres diurétiques
C03XA,antagonistes de la vasopressine
C03XA01,tolvaptan
C03XA02,conivaptan
C04,vasodilatateurs périphériques
C04A,vasodilatateurs périphériques
C04AA,dérivés du 2-amino-1-phényléthanol
C04AA01,isoxsuprine
C04AA02,buphénine
C04AA31,baméthan
C04AB,dérivés de l'imidazoline
C04AB01,phentolamine
C04AB02,tolazoline
C04AC,acide nicotinique et dérivés
C04AC01,acide nicotinique
C04AC02,alcool nicotinique (pyridylcarbinol)
C04AC03,nicotinate d'inositol
C04AC07,ciclonicate
C04AD,dérivés de la purine
C04AD01,pentifylline
C04AD02,nicotinate de xantinol
C04AD03,pentoxifylline
C04AD04,nicotinate d'étofylline
C04AE,alcaloïdes de l'ergot
C04AE01,mésilates d'ergoloïde
C04AE02,nicergoline
C04AE04,dihydroergocristine
C04AE51,mésilates d'ergoloïde en association
C04AE54,dihydroergocristine en association
C04AF,enzymes
C04AF01,kallidinogénase
C04AX,autres vasodilatateurs périphériques
C04AX01,cyclandélate
C04AX02,phénoxybenzamine
C04AX07,vincamine
C04AX10,moxisylyte
C04AX11,bencyclane
C04AX17,vinburnine
C04AX19,suloctidil
C04AX20,buflomédil
C04AX21,naftidrofuryl
C04AX23,butalamine
C04AX24,visnadine
C04AX26,cétiédil
C04AX27,cinépazide
C04AX28,ifenprodil
C04AX30,azapétine
C04AX32,fasudil
C04AX33,clazosentan
C05,vasculoprotecteurs
C05A,agents pour le traitement des hémorroïdes et des fissures anales à usage topique
C05AA,corticoïdes
C05AA01,hydrocortisone
C05AA04,prednisolone
C05AA05,bétaméthasone
C05AA06,fluorométholone
C05AA08,fluocortolone
C05AA09,dexaméthasone
C05AA10,acétonide de fluocinolone
C05AA11,fluocinonide
C05AA12,triamcinolone
C05AB,antibiotiques
C05AD,anesthésiques locaux
C05AD01,lidocaïne
C05AD02,tétracaïne
C05AD03,benzocaïne
C05AD04,cinchocaïne
C05AD05,procaïne
C05AD06,oxétacaïne
C05AD07,pramocaïne
C05AE,myorelaxants
C05AE01,trinitrine
C05AE02,dinitrate d'isosorbide
C05AE03,diltiazem
C05AX,autres agents pour le traitement des hémorroïdes et des fissures anales à usage topique
C05AX01,préparations à base d'aluminium
C05AX02,préparations à base de bismuth en association
C05AX03,autres préparations en association
C05AX04,préparations à base de zinc
C05AX05,tribénoside
C05AX06,phényléphrine
C05B,thérapie antivariqueuse
C05BA,héparines ou héparinoïdes à usage topique
C05BA01,organo-héparinoïdes
C05BA02,apolate de sodium
C05BA03,héparine
C05BA04,polysulfate de pentosane sodique
C05BA51,héparinoïdes en association
C05BA53,héparine en association
C05BB,agents sclérosants pour injection locale
C05BB01,oléate de monoéthanolamine
C05BB02,polidocanol
C05BB03,sucre inverti
C05BB04,tétradécyl sulfate de sodium
C05BB05,phénol
C05BB56,glucose en association
C05BX,autres agents sclérosants
C05BX01,dobésilate de calcium
C05BX51,dobésilate de calcium en association
C05C,agents agissant sur les capillaires
C05CA,bioflavonoïdes
C05CA01,rutoside
C05CA02,monoxérutine
C05CA03,diosmine
C05CA04,troxérutine
C05CA05,hidrosmine
C05CA51,rutoside en association
C05CA53,diosmine en association
C05CA54,troxérutine en association
C05CX,autres agents agissant sur les capillaires
C05CX01,tribénoside
C05CX02,naftazone
C05CX03,graines de marron d'Inde
C05X,autres vasculoprotecteurs
C05XX,autres vasculoprotecteurs
C05XX01,béperminogène perplasmide
C07,bêtabloquants
C07A,bêtabloquants
C07AA,bêtabloquants non sélectifs
C07AA01,alprénolol
C07AA02,oxprénolol
C07AA03,pindolol
C07AA05,propranolol
C07AA06,timolol
C07AA07,sotalol
C07AA12,nadolol
C07AA14,mépindolol
C07AA15,cartéolol
C07AA16,tertatolol
C07AA17,bopindolol
C07AA19,bupranolol
C07AA23,penbutolol
C07AA27,cloranolol
C07AB,bêtabloquants sélectifs
C07AB01,practolol
C07AB02,métoprolol
C07AB03,aténolol
C07AB04,acébutolol
C07AB05,bétaxolol
C07AB06,bévantolol
C07AB07,bisoprolol
C07AB08,céliprolol
C07AB09,esmolol
C07AB10,épanolol
C07AB11,s-aténolol
C07AB12,nébivolol
C07AB13,talinolol
C07AB14,landiolol
C07AG,alpha et bêtabloquants
C07AG01,labétalol
C07AG02,carvédilol
C07B,bêtabloquants et thiazidiques
C07BA,bêtabloquants non sélectifs et thiazidiques
C07BA02,oxprénolol et thiazidiques
C07BA05,propranolol et thiazidiques
C07BA06,timolol et thiazidiques
C07BA07,sotalol et thiazidiques
C07BA12,nadolol et thiazidiques
C07BA68,métipranolol et thiazidiques en association
C07BB,bêtabloquants sélectifs et thiazidiques
C07BB02,métoprolol et thiazidiques
C07BB03,aténolol et thiazidiques
C07BB04,acébutolol et thiazidiques
C07BB06,bévantolol et thiazidiques
C07BB07,bisoprolol et thiazidiques
C07BB12,nébivolol et thiazidiques
C07BB52,métoprolol et thiazidiques en association
C07BG,alpha et bêtabloquants et thiazidiques
C07BG01,labétalol et thiazidiques
C07C,bêtabloquants et autres diurétiques
C07CA,bêtabloquants non sélectifs et autres diurétiques
C07CA02,oxprénolol et autres diurétiques
C07CA03,pindolol et autres diurétiques
C07CA17,bopindolol et autres diurétiques
C07CA23,penbutolol et autres diurétiques
C07CB,bêtabloquants sélectifs et autres diurétiques
C07CB02,métoprolol et autres diurétiques
C07CB03,aténolol et autres diurétiques
C07CB53,aténolol et autres diurétiques en association
C07CG,alpha et bêtabloquants et autres diurétiques
C07CG01,labétalol et autres diurétiques
C07D,"bêtabloquants, thiazidiques et autres diurétiques"
C07DA,"bêtabloquants non sélectifs, thiazidiques et autres diurétiques"
C07DA06,"timolol, thiazidiques et autres diurétiques"
C07DB,"bêtabloquants sélectifs, thiazidiques et autres diurétiques"
C07DB01,"aténolol, thiazidiques et autres diurétiques"
C07E,bêtabloquants et vasodilatateurs
C07EA,bêtabloquants non sélectifs et vasodilatateurs
C07EB,bêtabloquants selectifs et vasodilatateurs
C07F,"bêtabloquants, autres associations"
C07FB,bêtabloquants et inhibiteurs calciques
C07FB02,métoprolol et félodipine
C07FB03,aténolol et nifédipine
C07FB07,bisoprolol et amlodipine
C07FB12,nébivolol et amlodipine
C07FB13,métoprolol et amlodipine
C07FX,"bêtabloquants, autres associations"
C07FX01,propranolol et autres associations
C07FX02,sotalol et acide acétylsalicylique
C07FX03,métoprolol et acide acétylsalicylique
C07FX04,bisoprolol et acide acétylsalicylique
C07FX05,métoprolol et ivabradine
C07FX06,carvédilol et ivabradine
C08,inhibiteurs calciques
C08C,inhibiteurs calciques sélectifs à effets vasculaires
C08CA,dérivés de la dihydropyridine
C08CA01,amlodipine
C08CA02,félodipine
C08CA03,isradipine
C08CA04,nicardipine
C08CA05,nifédipine
C08CA06,nimodipine
C08CA07,nisoldipine
C08CA08,nitrendipine
C08CA09,lacidipine
C08CA10,nilvadipine
C08CA11,manidipine
C08CA12,barnidipine
C08CA13,lercanidipine
C08CA14,cilnidipine
C08CA15,bénidipine
C08CA16,clévidipine
C08CA17,lévamlodipine
C08CA51,amlodipine et célécoxib
C08CA55,nifédipine en association
C08CX,autres inhibiteurs calciques sélectifs à effets vasculaires
C08CX01,mibéfradil
C08D,inhibiteurs calciques sélectifs à effets cardiaques directs
C08DA,dérivés de la phénylalkylamine
C08DA01,vérapamil
C08DA02,gallopamil
C08DA51,vérapamil en association
C08DB,dérivés de la benzothiazépine
C08DB01,diltiazem
C08E,inhibiteurs calciques non sélectifs
C08EA,dérivés de la phénylalkylamine
C08EA01,fendiline
C08EA02,bépridil
C08EX,autres inhibiteurs calciques non sélectifs
C08EX01,lidoflazine
C08EX02,perhexiline
C08G,inhibiteurs calciques et diurétiques
C08GA,inhibiteurs calciques et diurétiques
C08GA01,nifédipine et diurétiques
C08GA02,amlodipine et diurétiques
C09,médicaments agissant sur le système rénine-angiotensine
C09A,inhibiteurs de l'enzyme de conversion (IEC) non associés
C09AA,inhibiteurs de l'enzyme de conversion (IEC) non associés
C09AA01,captopril
C09AA02,énalapril
C09AA03,lisinopril
C09AA04,périndopril
C09AA05,ramipril
C09AA06,quinapril
C09AA07,bénazépril
C09AA08,cilazapril
C09AA09,fosinopril
C09AA10,trandolapril
C09AA11,spirapril
C09AA12,délapril
C09AA13,moexipril
C09AA14,témocapril
C09AA15,zofénopril
C09AA16,imidapril
C09B,inhibiteurs de l'enzyme de conversion (IEC) en association
C09BA,inhibiteurs de l'enzyme de conversion (IEC) et diurétiques
C09BA01,captopril et diurétiques
C09BA02,énalapril et diurétiques
C09BA03,lisinopril et diurétiques
C09BA04,périndopril et diurétiques
C09BA05,ramipril et diurétiques
C09BA06,quinapril et diurétiques
C09BA07,bénazépril et diurétiques
C09BA08,cilazapril et diurétiques
C09BA09,fosinopril et diurétiques
C09BA12,délapril et diurétiques
C09BA13,moexipril et diurétiques
C09BA15,zofénopril et diurétiques
C09BB,inhibiteurs de l'enzyme de conversion (IEC) et inhibiteurs calciques
C09BB02,énalapril et lercanidipine
C09BB03,lisinopril et amlodipine
C09BB04,périndopril et amlodipine
C09BB05,ramipril et félodipine
C09BB06,énalapril et nitrendipine
C09BB07,ramipril et amlodipine
C09BB10,trandolapril et vérapamil
C09BB12,délapril et manidipine
C09BB13,bénazépril et amlodipine
C09BX,"inhibiteurs de l'enzyme de conversion, autres associations"
C09BX01,"périndopril, amlodipine et indapamide"
C09BX02,périndopril et bisoprolol
C09BX03,"ramipril, amlodipine et hydrochlorothiazide"
C09BX04,"périndopril, bisoprolol et amlodipine"
C09BX05,ramipril et bisoprolol
C09BX06,"périndopril, bisoprolol, amlodipine et indapamide"
C09BX07,zofénopril et nébivolol
C09C,antagonistes des récepteurs de l'angiotensine II (ARA) non associés
C09CA,antagonistes des récepteurs de l'angiotensine II (ARA) non associés
C09CA01,losartan
C09CA02,éprosartan
C09CA03,valsartan
C09CA04,irbésartan
C09CA05,tasosartan
C09CA06,candésartan
C09CA07,telmisartan
C09CA08,olmésartan médoxomil
C09CA09,azilsartan médoxomil
C09CA10,fimasartan
C09D,antagonistes des récepteurs de l'angiotensine II (ARA) en association
C09DA,antagonistes des récepteurs de l'angiotensine II (ARA) et diurétiques
C09DA01,losartan et diurétiques
C09DA02,éprosartan et diurétiques
C09DA03,valsartan et diurétiques
C09DA04,irbésartan et diurétiques
C09DA06,candésartan et diurétiques
C09DA07,telmisartan et diurétiques
C09DA08,olmésartan médoxomil et diurétiques
C09DA09,azilsartan médoxomil et diurétiques
C09DA10,fimasartan et diurétiques
C09DB,antagonistes des récepteurs de l'angiotensine II (ARA) et inhibiteurs calciques
C09DB01,valsartan et amlodipine
C09DB02,olmésartan médoxomil et amlodipine
C09DB04,telmisartan et amlodipine
C09DB05,irbésartan et amlodipine
C09DB06,losartan et amlodipine
C09DB07,candésartan et amlodipine
C09DB08,valsartan et lercanidipine
C09DB09,fimasartan et amlodipine
C09DX,"antagonistes des récepteurs de l'angiotensine II (ARA), autres associations"
C09DX01,"valsartan, amlodipine et hydrochlorothiazide"
C09DX02,valsartan et aliskirène
C09DX03,"olmésartan médoxomil, amlodipine et hydrochlorothiazide"
C09DX04,valsartan et sacubitril
C09DX05,valsartan et nébivolol
C09DX06,"candésartan, amlodipine et hydrochlorothiazide"
C09DX07,"irbésartan, amlodipine et hydrochlorothiazide"
C09DX08,"telmisartan, amlodipine et hydrochlorothiazide"
C09X,autres médicaments agissant sur le système rénine-angiotensine
C09XA,inhibiteurs de la rénine
C09XA01,rémikirène
C09XA02,aliskirène
C09XA52,aliskirène et hydrochlorothiazide
C09XA53,aliskirène et amlodipine
C09XA54,"aliskirène, amlodipine et hydrochlorothiazide"
C10,agents modifiant les lipides
C10A,agents modifiant les lipides non associés
C10AA,inhibiteurs de l'HMG-CoA réductase
C10AA01,simvastatine
C10AA02,lovastatine
C10AA03,pravastatine
C10AA04,fluvastatine
C10AA05,atorvastatine
C10AA06,cérivastatine
C10AA07,rosuvastatine
C10AA08,pitavastatine
C10AB,fibrates
C10AB01,clofibrate
C10AB02,bézafibrate
C10AB03,clofibrate d'aluminium
C10AB04,gemfibrozil
C10AB05,fénofibrate
C10AB06,simfibrate
C10AB07,ronifibrate
C10AB08,ciprofibrate
C10AB09,étofibrate
C10AB10,clofibride
C10AB11,fénofibrate de choline
C10AB12,pémafibrate
C10AC,séquestrants d'acides biliaires
C10AC01,colestyramine
C10AC02,colestipol
C10AC03,colextran
C10AC04,colesevelam
C10AD,acide nicotinique et dérivés
C10AD01,nicéritrol
C10AD02,acide nicotinique
C10AD03,nicofuranose
C10AD04,nicotinate d'aluminium
C10AD05,alcool nicotinique (pyridylcarbinol)
C10AD06,acipimox
C10AD52,acide nicotinique en association
C10AX,autres agents modifiant les lipides
C10AX01,dextrothyroxine
C10AX02,probucol
C10AX03,tiadénol
C10AX05,méglutol
C10AX06,"triglycérides oméga 3, autres esters et acides inclus  "
C10AX07,pyridoxal 5-phosphate glutamate de magnésium
C10AX08,policosanol
C10AX09,ézétimibe
C10AX10,alipogène tiparvovec
C10AX11,mipomersen
C10AX12,lomitapide
C10AX13,évolocumab
C10AX14,alirocumab
C10AX15,acide bempédoïque
C10AX16,inclisiran
C10AX17,évinacumab
C10AX18,volanésorsen
C10B,agents modifiant les lipides en association
C10BA,associations de divers agents modifiant les lipides
C10BA01,lovastatine et acide nicotinique
C10BA02,simvastatine et ézétimibe
C10BA03,pravastatine et fénofibrate
C10BA04,simvastatine et fénofibrate
C10BA05,atorvastatine et ézétimibe
C10BA06,rosuvastatine et ézétimibe
C10BA07,rosuvastatine et acides gras oméga-3
C10BA08,atorvastatine et acides gras oméga-3
C10BA09,rosuvastatine et fénofibrate
C10BA10,acide bempédoïque et ézétimibe
C10BA11,pravastatine et ézétimibe
C10BA12,"pravastatine, ézétimibe et fénofibrate"
C10BX,agents modifiant les lipides en association avec d'autres médicaments
C10BX01,simvastatine et acide acétylsalicylique
C10BX02,pravastatine et acide acétylsalicylique
C10BX03,atorvastatine et amlodipine
C10BX04,"simvastatine, acide acétylsalicylique et ramipril"
C10BX05,rosuvastatine et acide acétylsalicylique
C10BX06,"atorvastatine, acide acétylsalicylique et ramipril"
C10BX07,"rosuvastatine, amlodipine et lisinopril"
C10BX08,atorvastatine et acide acétylsalicylique
C10BX09,rosuvastatine et amlodipine
C10BX10,rosuvastatine et valsartan
C10BX11,"atorvastatine, amlodipine et périndopril"
C10BX12,"atorvastatine, acide acétylsalicylique et périndopril"
C10BX13,"rosuvastatine, périndopril et indapamide"
C10BX14,"rosuvastatine, amlodipine et périndopril"
C10BX15,atorvastatine et périndopril
C10BX16,rosuvastatine et fimasartan
C10BX17,rosuvastatine et ramipril
C10BX18,"atorvastatine, amlodipine et ramipril"
C10BX19,"atorvastatine, amlodipine et candésartan"
C10BX20,rosuvastatine et telmisartan
C10BX21,rosuvastatine et périndopril
D,produits dermatologiques
D01,antifongiques à usage dermatologique
D01A,antifongiques à usage topique
D01AA,antibiotiques
D01AA01,nystatine
D01AA02,natamycine
D01AA03,hachimycine
D01AA04,pécilocine
D01AA06,mépartricine
D01AA07,pyrrolnitrine
D01AA08,griséofulvine
D01AA20,associations (antibiotiques)
D01AC,dérivés imidazolés et triazolés
D01AC01,chlormidazole
D01AC02,miconazole
D01AC03,éconazole
D01AC04,chlormidazole
D01AC05,isoconazole
D01AC06,tiabendazole
D01AC07,tioconazole
D01AC08,kétoconazole
D01AC09,sulconazole
D01AC10,bifonazole
D01AC11,oxiconazole
D01AC12,fenticonazole
D01AC13,omoconazole
D01AC14,sertaconazole
D01AC15,fluconazole
D01AC16,flutrimazole
D01AC17,éberconazole
D01AC18,luliconazole
D01AC19,éfinaconazole
D01AC20,imidazolés/triazolés en association avec des corticoïdes
D01AC21,néticonazole
D01AC22,lanoconazole
D01AC52,miconazole en association
D01AC60,bifonazole en association
D01AE,autres antifongiques à usage topique
D01AE01,bromochlorosalicylanilide
D01AE02,méthylrosaniline
D01AE03,tribromométacrésol
D01AE04,acide undécylénique
D01AE05,polynoxyline
D01AE06,2-(4-chlorphénoxy)-éthanol
D01AE07,chlorphénésine
D01AE08,ticlatone
D01AE09,sulbentine
D01AE10,hydroxybenzoate d'éthyle
D01AE11,haloprogine
D01AE12,acide salicylique
D01AE13,sulfure de sélénium
D01AE14,ciclopirox
D01AE15,terbinafine
D01AE16,amorolfine
D01AE17,dimazole
D01AE18,tolnaftate
D01AE19,tolciclate
D01AE20,associations (autres antifongiques à usage topique)
D01AE21,flucytosine
D01AE22,naftifine
D01AE23,buténafine
D01AE24,tavaborole
D01AE25,liranaftate
D01AE54,acide undécylénique en association
D01B,antifongiques à usage systémique
D01BA,antifongiques à usage systémique
D01BA01,griséofulvine
D01BA02,terbinafine
D01BA03,fosravuconazole
D02,émollients et protecteurs
D02A,émollients et protecteurs
D02AA,produits à base de silicone
D02AB,produits à base de zinc
D02AC,paraffine molle et produits gras
D02AD,emplâtres liquides
D02AE,produits à base d'urée
D02AE01,urée
D02AE51,urée en association
D02AF,préparations à base d'acide salicylique
D02AX,autres émollients et protecteurs
D02B,protecteurs contre les rayonnements UV
D02BA,protecteurs contre les rayonnements UV à usage topique
D02BA01,acide aminobenzoïque
D02BA02,octinoxate
D02BB,protecteurs contre les rayonnements UV à usage systémique
D02BB01,bétacarotène
D02BB02,afamélanotide
D03,préparations pour le traitement des plaies et ulcères
D03A,cicatrisants
D03AA,pommade à base d'huile de foie de morue
D03AX,autres cicatrisants
D03AX01,cadexomère iodé
D03AX02,dextranomère
D03AX03,dexpanthénol
D03AX04,pantothénate de calcium
D03AX05,acide hyaluronique
D03AX06,bécaplermine
D03AX09,crilanomère
D03AX10,énoxolone
D03AX11,chlorite de sodium
D03AX12,trolamine
D03AX13,écorce de bouleau
D03AX14,"Centella asiatica, associations incluses"
D03AX15,trafermine
D03AX16,bérémagène géperpavec
D03B,enzymes
D03BA,enzymes protéolytiques
D03BA01,trypsine
D03BA02,collagénase
D03BA03,bromélaïnes
D03BA52,collagénase en association
D04,"antiprurigineux, antihistaminiques et anesthésiques inclus, etc."
D04A,"antiprurigineux, antihistaminiques et anesthésiques inclus, etc."
D04AA,antihistaminiques à usage topique
D04AA01,thonzylamine
D04AA02,mépyramine
D04AA03,thénalidine
D04AA04,tripélennamine
D04AA09,chloropyramine
D04AA10,prométhazine
D04AA12,tolpropamine
D04AA13,dimétindène
D04AA14,clémastine
D04AA15,bamipine
D04AA16,phéniramine
D04AA22,isothipendyl
D04AA32,diphénhydramine
D04AA33,méthylbromure de diphénhydramine
D04AA34,chlorphénoxamine
D04AB,anesthésiques à usage topique
D04AB01,lidocaïne
D04AB02,cinchocaïne
D04AB03,oxybuprocaïne
D04AB04,benzocaïne
D04AB05,quinisocaïne
D04AB06,tétracaïne
D04AB07,pramocaïne
D04AX,autres antiprurigineux
D04AX01,doxépine
D05,antipsoriasiques
D05A,antipsoriasiques à usage topique
D05AA,goudrons
D05AC,dérivés anthracéniques
D05AC01,dithranol
D05AC51,dithranol en association
D05AD,psoralènes à usage topique
D05AD01,trioxysalène
D05AD02,méthoxsalène
D05AX,autres antipsoriasiques à usage topique
D05AX01,acide fumarique
D05AX02,calcipotriol
D05AX03,calcitriol
D05AX04,tacalcitol
D05AX05,tazarotène
D05AX06,roflumilast
D05AX07,tapinarof
D05AX52,calcipotriol en association
D05AX55,tazarotène et ulobétasol
D05B,antipsoriasiques à usage systémique
D05BA,psoralènes à usage systémique
D05BA01,trioxysalène
D05BA02,méthoxsalène
D05BA03,bergaptène
D05BB,rétinoïdes pour le traitement du psoriasis
D05BB01,étrétinate
D05BB02,acitrétine
D05BX,autres antipsoriasiques à usage systémique
D05BX51,dérivés de l'acide fumarique en association
D06,antibiotiques et agents chimiothérapeutiques à usage dermatologique
D06A,antibiotiques à usage topique
D06AA,tétracycline et dérivés
D06AA01,déméclocycline
D06AA02,chlortétracycline
D06AA03,oxytétracycline
D06AA04,tétracycline
D06AX,autres antibiotiques à usage topique
D06AX01,acide fusidique
D06AX02,chloramphénicol
D06AX04,néomycine
D06AX05,bacitracine
D06AX07,gentamicine
D06AX08,tyrothricine
D06AX09,mupirocine
D06AX10,virginiamycine
D06AX11,rifaximine
D06AX12,amikacine
D06AX13,rétapamuline
D06AX14,ozénoxacine
D06AX15,rifamycine
D06B,agents chimiothérapeutiques à usage topique
D06BA,sulfamides
D06BA01,sulfadiazine argentique
D06BA02,sulfathiazole
D06BA03,mafénide
D06BA04,sulfaméthizole
D06BA05,sulfanilamide
D06BA06,sulfamérazine
D06BA51,sulfadiazine argentique en association
D06BB,antiviraux
D06BB01,idoxuridine
D06BB02,tromantadine
D06BB03,aciclovir
D06BB04,podophyllotoxine
D06BB05,inosine
D06BB06,penciclovir
D06BB07,lysozyme
D06BB08,ibacitabine
D06BB09,édoxudine
D06BB10,imiquimod
D06BB11,docosanol
D06BB12,sinécatéchines
D06BB53,aciclovir en association
D06BX,autres agents chimiothérapeutiques
D06BX01,métronidazole
D06BX02,mébutate d'ingéniol
D06BX03,tirbanibuline
D06C,antibiotiques et agents chimiothérapeutiques en association
D07,"corticoïdes, préparations dermatologiques"
D07A,corticoïdes non associés
D07AA,corticoïdes d'activité faible (groupe I)
D07AA01,méthylprednisolone
D07AA02,hydrocortisone
D07AA03,prednisolone
D07AB,corticoïdes d'activité modérée (groupe II)
D07AB01,clobétasone
D07AB02,butyrate d'hydrocortisone
D07AB03,flumétasone
D07AB04,fluocortine
D07AB05,flupérolone
D07AB06,fluorométholone
D07AB07,fluprednidène
D07AB08,désonide
D07AB09,triamcinolone
D07AB10,alclométasone
D07AB11,butéprate d'hydrocortisone
D07AB19,dexaméthasone
D07AB21,clocortolone
D07AB30,associations de corticoïdes
D07AC,corticoïdes d'activité forte (groupe III)
D07AC01,bétaméthasone
D07AC02,fluclorolone
D07AC03,désoximétasone
D07AC04,acétonide de fluocinolone
D07AC05,fluocortolone
D07AC06,diflucortolone
D07AC07,fludroxycortide
D07AC08,fluocinonide
D07AC09,budésonide
D07AC10,diflorasone
D07AC11,amcinonide
D07AC12,halométasone
D07AC13,mométasone
D07AC14,acéponate de méthylprednisolone
D07AC15,béclométasone
D07AC16,acéponate d'hydrocortisone
D07AC17,fluticasone
D07AC18,prednicarbate
D07AC19,difluprednate
D07AC21,ulobétasol
D07AD,corticoïdes d'activité très forte (groupe IV)
D07AD01,clobétasol
D07AD02,halcinonide
D07B,corticoïdes en association avec des antiseptiques
D07BA,corticoïdes d'activité faible en association avec des antiseptiques
D07BA01,prednisolone et antiseptiques
D07BA04,hydrocortisone et antiseptiques
D07BB,corticoïdes d'activité modérée en association avec des antiseptiques
D07BB01,flumétasone et antiseptiques
D07BB02,désonide et antiseptiques
D07BB03,triamcinolone et antiseptiques
D07BB04,butyrate d'hydrocortisone et antiseptiques
D07BC,corticoïdes d'activité forte en association avec des antiseptiques
D07BC01,bétaméthasone et antiseptiques
D07BC02,acétonide de fluocinolone et antiseptiques
D07BC03,fluocortolone et antiseptiques
D07BC04,diflucortolone et antiseptiques
D07BD,corticoïdes d'activité très forte en association avec des antiseptiques
D07C,corticoïdes en association avec des antibiotiques
D07CA,corticoïdes d'activité faible en association avec des antibiotiques
D07CA01,hydrocortisone et antibiotiques
D07CA02,méthylprednisolone et antibiotiques
D07CA03,prednisolone et antibiotiques
D07CB,corticoïdes d'activité modérée en association avec des antibiotiques
D07CB01,triamcinolone et antibiotiques
D07CB02,fluprednidène et antibiotiques
D07CB03,fluorométholone et antibiotiques
D07CB04,dexaméthasone et antibiotiques
D07CB05,flumétasone et antibiotiques
D07CC,corticoïdes d'activité forte en association avec des antibiotiques
D07CC01,bétaméthasone et antibiotiques
D07CC02,acétonide de fluocinolone et antibiotiques
D07CC03,fludroxycortide et antibiotiques
D07CC04,béclométasone et antibiotiques
D07CC05,fluocinonide et antibiotiques
D07CC06,fluocortolone et antibiotiques
D07CD,corticoïdes d'activité très forte en association avec des antibiotiques
D07CD01,clobétasol et antibiotiques
D07X,"corticoïdes, autres associations"
D07XA,"corticoïdes d'activité faible, autres associations"
D07XA01,hydrocortisone
D07XA02,prednisolone
D07XB,"corticoïdes d'activité modérée, autres associations"
D07XB01,flumétasone
D07XB02,triamcinolone
D07XB03,fluprednidène
D07XB04,fluorométholone
D07XB05,dexaméthasone
D07XB30,associations de corticoïdes
D07XC,"corticoïdes d'activité forte, autres associations"
D07XC01,bétaméthasone
D07XC02,désoximétasone
D07XC03,mométasone
D07XC04,diflucortolone
D07XC05,fluocortolone
D07XD,"corticoïdes d'activité très forte, autres associations"
D08,antiseptiques et désinfectants
D08A,antiseptiques et désinfectants
D08AA,dérivés de l'acridine
D08AA01,lactate d'éthacridine
D08AA02,aminoacridine
D08AA03,euflavine
D08AB,produits à base d'aluminium
D08AC,biguanides et amidines
D08AC01,dibrompropamidine
D08AC02,chlorhexidine
D08AC03,propamidine
D08AC04,hexamidine
D08AC05,polihexanide
D08AC52,chlorhexidine en association
D08AD,produits à base d'acide borique
D08AE,phénol et dérivés
D08AE01,hexachlorophène
D08AE02,policrésulène
D08AE03,phénol
D08AE04,triclosan
D08AE05,chloroxylénol
D08AE06,biphénylol
D08AF,dérivés du nitrofurane
D08AF01,nitrofural
D08AG,produits iodés
D08AG01,iode/octylphénoxypolyglycoléther
D08AG02,povidone iodée
D08AG03,iode
D08AG04,diiodohydroxypropane
D08AH,dérivés de la quinoléine
D08AH01,déqualinium
D08AH02,chlorquinaldol
D08AH03,oxyquinoline
D08AH30,clioquinol
D08AJ,ammoniums quaternaires
D08AJ01,benzalkonium
D08AJ02,cétrimonium
D08AJ03,cétylpyridinium
D08AJ04,cétrimide
D08AJ05,chlorure de benzoxonium
D08AJ06,chlorure de didécyldiméthylammonium
D08AJ08,chlorure de benzéthonium
D08AJ10,décaméthoxine
D08AJ57,octénidine en association
D08AJ58,chlorure de benzéthonium en association
D08AJ59,bromure de dodéclonium en association
D08AK,Produits à base de mercure
D08AK01,amidochlorure de mercure
D08AK02,borate de phénylmercure
D08AK03,chlorure de mercure
D08AK04,merbromine
D08AK05,mercure métal
D08AK06,thiomersal
D08AK30,iodure de mercure
D08AL,composés à base d'argent
D08AL01,nitrate d'argent
D08AL30,argent
D08AX,autres antiseptiques et désinfectants
D08AX01,peroxyde d'hydrogène
D08AX02,éosine
D08AX03,propanol
D08AX04,tosylchloramide de sodium
D08AX05,isopropanol
D08AX06,permanganate de potassium
D08AX07,hypochlorite de sodium
D08AX08,éthanol
D08AX53,propanol en association
D09,pansements médicamenteux
D09A,pansements médicamenteux
D09AA,pansements médicamenteux avec anti-infectieux
D09AA01,framycétine
D09AA02,acide fusidique
D09AA03,nitrofural
D09AA04,nitrate de phénylmercure
D09AA05,benzododécinium
D09AA06,triclosan
D09AA07,cétylpyridinium
D09AA08,chlorhydrate d'aluminium
D09AA09,povidone iodée
